STATE,Name,NAME,District,ASSET_2001,ASSET_2011,Asset Change
1,JAMMU & KASHMIR,Kupwara,1,1,1,0
1,JAMMU & KASHMIR,Badgam,2,1,2,1
1,JAMMU & KASHMIR,Leh (Ladakh),3,1,2,1
1,JAMMU & KASHMIR,Kargil,4,1,1,0
1,JAMMU & KASHMIR,Punch,5,1,1,0
1,JAMMU & KASHMIR,Rajauri,6,1,1,0
1,JAMMU & KASHMIR,Kathua,7,1,2,1
1,JAMMU & KASHMIR,Baramula,8,1,2,1
1,JAMMU & KASHMIR,Srinagar,10,2,3,1
1,JAMMU & KASHMIR,Pulwama,12,1,2,1
1,JAMMU & KASHMIR,Anantnag,14,1,2,1
1,JAMMU & KASHMIR,Doda,16,1,1,0
1,JAMMU & KASHMIR,Udhampur,19,1,2,1
1,JAMMU & KASHMIR,Jammu,21,2,3,1
2,HIMACHAL PRADESH,Chamba,23,1,2,1
2,HIMACHAL PRADESH,Kangra,24,2,3,1
2,HIMACHAL PRADESH,Lahul & Spiti,25,1,3,1
2,HIMACHAL PRADESH,Kullu,26,1,2,1
2,HIMACHAL PRADESH,Mandi,27,2,3,1
2,HIMACHAL PRADESH,Hamirpur,28,2,3,1
2,HIMACHAL PRADESH,Una,29,2,3,1
2,HIMACHAL PRADESH,Bilaspur,30,2,3,1
2,HIMACHAL PRADESH,Solan,31,2,3,1
2,HIMACHAL PRADESH,Sirmaur,32,1,2,1
2,HIMACHAL PRADESH,Shimla,33,2,3,1
2,HIMACHAL PRADESH,Kinnaur,34,2,2,0
3,PUNJAB,Gurdaspur,35,3,3,0
3,PUNJAB,Kapurthala,36,3,3,0
3,PUNJAB,Jalandhar,37,3,3,0
3,PUNJAB,Hoshiarpur,38,3,3,0
3,PUNJAB,Nawanshahr ,39,3,3,0
3,PUNJAB,Fatehgarh Sahib,40,3,3,0
3,PUNJAB,Ludhiana,41,3,3,0
3,PUNJAB,Moga,42,2,3,1
3,PUNJAB,Firozpur,43,2,3,1
3,PUNJAB,Muktsar,44,2,3,1
3,PUNJAB,Faridkot,45,2,3,1
3,PUNJAB,Bathinda,46,2,3,1
3,PUNJAB,Mansa,47,2,3,1
3,PUNJAB,Patiala,48,3,3,0
3,PUNJAB,Amritsar,49,3,3,0
3,PUNJAB,Rupnagar,51,3,3,0
3,PUNJAB,Sangrur,53,2,3,1
4,CHANDIGARH,Chandigarh,55,3,3,0
5,UTTARAKHAND,Uttarkashi,56,1,2,1
5,UTTARAKHAND,Chamoli,57,1,2,1
5,UTTARAKHAND,Rudraprayag,58,1,2,1
5,UTTARAKHAND,Tehri Garhwal,59,1,2,1
5,UTTARAKHAND,Dehradun,60,3,3,0
5,UTTARAKHAND,Garhwal,61,1,2,1
5,UTTARAKHAND,Pithoragarh,62,1,2,1
5,UTTARAKHAND,Bageshwar,63,1,2,1
5,UTTARAKHAND,Almora,64,1,2,1
5,UTTARAKHAND,Champawat,65,1,2,1
5,UTTARAKHAND,Nainital,66,2,3,1
5,UTTARAKHAND,Udham Singh Nagar,67,2,3,1
5,UTTARAKHAND,Hardwar,68,2,3,1
6,HARYANA,Panchkula,69,3,3,0
6,HARYANA,Ambala,70,3,3,0
6,HARYANA,Yamunanagar,71,2,3,1
6,HARYANA,Kurukshetra,72,3,3,0
6,HARYANA,Kaithal,73,2,3,1
6,HARYANA,Karnal,74,2,3,1
6,HARYANA,Panipat,75,2,3,1
6,HARYANA,Sonipat,76,2,3,1
6,HARYANA,Jind,77,2,3,1
